Filename,Frame,Time (mins),Period,Period time (mins),OpCode,TapeReader,Depth,Comment,Year,Month,Day,Site,BRUV,Visibility,Habitat,Family,Genus,Species,Code,MaxN,Has fed,Periods,Sci_Name_Full,Sci_Name_Abbr,Date,Analysis_Month,Sci_Name,Type,Subtype,Common_Name,Feeding,Targeted
GH042931.MP4,43887,65.1059,CARM_11JUL20_bruv1_0012,0.1057,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Olividae,Callianax,biplicata,9,13,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
GH042931.MP4,25266,59.9282,CARM_11JUL20_bruv1_0010,4.928,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paguridae,Pagurus,spp,NA,1,No,12,Pagurus spp,P. spp,7/11/2020,Jul,Pagurus spp,Invertebrate,Crab,Unknown Hermit Crab,carnivore,Nontargeted
GH042931.MP4,43887,65.1059,CARM_11JUL20_bruv1_0012,0.1057,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paguridae,Pagurus,spp,NA,1,No,12,Pagurus spp,P. spp,7/11/2020,Jul,Pagurus spp,Invertebrate,Crab,Unknown Hermit Crab,carnivore,Nontargeted
GH012931.MP4,43370,12.0593,CARM_11JUL20_bruv1_0001,2.0593,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH012931.MP4,53968,15.0061,CARM_11JUL20_bruv1_0002,0.0061,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH022931.MP4,8533,20.0069,CARM_11JUL20_bruv1_0003,0.007,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH022931.MP4,35276,27.443,CARM_11JUL20_bruv1_0004,2.443,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,3,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH022931.MP4,44661,30.0525,CARM_11JUL20_bruv1_0005,0.0526,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,3,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH022931.MP4,62507,35.0147,CARM_11JUL20_bruv1_0006,0.0147,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,2,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH032931.MP4,17351,40.0931,CARM_11JUL20_bruv1_0007,0.0929,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,2,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH032931.MP4,44243,47.5706,CARM_11JUL20_bruv1_0008,2.5703,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH042931.MP4,0,52.9029,CARM_11JUL20_bruv1_0009,2.9026,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH042931.MP4,24012,59.5795,CARM_11JUL20_bruv1_0010,4.5793,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH042931.MP4,38286,63.5485,CARM_11JUL20_bruv1_0011,3.5483,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Paralichthyidae,Citharichthys,stigmaeus,13,1,No,12,Citharichthys stigmaeus,C. stigmaeus,7/11/2020,Jul,Citharichthys stigmaeus,Fish,Flatfish,Speckled Sanddab,carnivore,Nontargeted
GH022931.MP4,1227,17.9755,CARM_11JUL20_bruv1_0002,2.9755,CARM_11JUL20_bruv1,Gammon Koval,7,NA,2020,7,11,Carmel,1,1,SS,Pleurobrachidae,Pleurobrachia,bachei,96,1,No,12,Pleurobrachia bachei,P. bachei,7/11/2020,Jul,Pleurobrachia bachei,Invertebrate,Ctenophore,Sea Gooseberry,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_3.MP4,32621,44.339,CARM_11JUL19_bruv2_0008,1.3388,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Atherinopsidae,Atherinops,affinis,5,3,No,12,Atherinops affinis,A. affinis,7/11/2020,Jul,Atherinops affinis,Fish,Silverside,Topsmelt,planktivore,Targeted
2020 07.11 - Carmel Beach - BRUV 2_4.MP4,15343,57.1691,CARM_11JUL19_bruv2_0010,4.1689,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Cancridae,Metacarcinus,productus,11,1,No,12,Metacarcinus productus,M. productus,7/11/2020,Jul,Metacarcinus productus,Invertebrate,Crab,Red Rock Crab,carnivore,Targeted
2020 07.11 - Carmel Beach - BRUV 2_4.MP4,40400,64.1363,CARM_11JUL19_bruv2_0012,1.1361,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Cancridae,Metacarcinus,productus,11,1,No,12,Metacarcinus productus,M. productus,7/11/2020,Jul,Metacarcinus productus,Invertebrate,Crab,Red Rock Crab,carnivore,Targeted
2020 07.11 - Carmel Beach - BRUV 2_1.MP4,53497,14.8751,CARM_11JUL19_bruv2_0002,1.8752,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Hominidae,Homo,sapiens,25,1,No,12,Homo sapiens,H. sapiens,7/11/2020,Jul,Homo sapiens,Mammal,Human,Human,NA,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_3.MP4,30273,43.6861,CARM_11JUL19_bruv2_0008,0.686,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Littorinidae,NA,spp,NA,1,No,12,NA spp,NA. spp,7/11/2020,Jul,NA,Invertebrate,Snail,Unknown Sea Snail,herbivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_3.MP4,54739,50.489,CARM_11JUL19_bruv2_0009,2.4889,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Littorinidae,NA,spp,NA,2,Yes,12,NA spp,NA. spp,7/11/2020,Jul,NA,Invertebrate,Snail,Unknown Sea Snail,herbivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_4.MP4,8150,55.169,CARM_11JUL19_bruv2_0010,2.1688,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Littorinidae,NA,spp,NA,1,Yes,12,NA spp,NA. spp,7/11/2020,Jul,NA,Invertebrate,Snail,Unknown Sea Snail,herbivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_4.MP4,27465,60.5396,CARM_11JUL19_bruv2_0011,2.5395,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Littorinidae,NA,spp,NA,2,Yes,12,NA spp,NA. spp,7/11/2020,Jul,NA,Invertebrate,Snail,Unknown Sea Snail,herbivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_4.MP4,40400,64.1363,CARM_11JUL19_bruv2_0012,1.1361,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Littorinidae,NA,spp,NA,2,Yes,12,NA spp,NA. spp,7/11/2020,Jul,NA,Invertebrate,Snail,Unknown Sea Snail,herbivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_1.MP4,30348,8.4384,CARM_11JUL19_bruv2_0001,0.4385,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,4,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_1.MP4,52952,14.7236,CARM_11JUL19_bruv2_0002,1.7237,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,3,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_2.MP4,1350,18.0097,CARM_11JUL19_bruv2_0003,0.0097,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,5,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_2.MP4,21472,23.6047,CARM_11JUL19_bruv2_0004,0.6048,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,8,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_2.MP4,50277,31.6141,CARM_11JUL19_bruv2_0005,3.6142,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,9,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_3.MP4,2650,36.0054,CARM_11JUL19_bruv2_0006,3.0055,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,11,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_3.MP4,13073,38.9036,CARM_11JUL19_bruv2_0007,0.9034,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,14,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
2020 07.11 - Carmel Beach - BRUV 2_3.MP4,32003,44.1672,CARM_11JUL19_bruv2_0008,1.167,CARM_11JUL20_bruv2,Gammon Koval,6,NA,2020,7,11,Carmel,2,1,SS,Olividae,Callianax,biplicata,9,9,No,12,Callianax biplicata,C. biplicata,7/11/2020,Jul,Callianax biplicata,Invertebrate,Snail,Purple Dwarf Olive Snail,planktivore,Nontargeted
